wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,box_office_revenue,runtime,languages,countries,genres,imdb_id,averageRating,numVotes,lead_actor_1,lead_actor_2,adjusted_box_office
7330661,/m/0kv57c,deck the halls,2006-11-22,47231070.0,93.0,['English'],['United States of America'],"['Christmas movie', 'Family Film', 'Comedy']",tt0790604,5.1,33569.0,Matthew Broderick,Danny DeVito,70733704.20038594
1356982,/m/04wdfw,sabrina,1995-12-15,53458319.0,127.0,['English'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Drama', 'Comedy']",tt0114319,6.3,45250.0,Harrison Ford,Julia Ormond,102304199.14143713
1073955,/m/043ncp,soul food,1997-09-26,43700855.0,115.0,['English'],['United States of America'],"['Drama', 'Ensemble Film', 'Family Drama', 'Comedy-drama', 'Domestic Comedy']",tt0120169,7.0,9199.0,Vanessa Williams,Vivica A. Fox,79523904.56844892
4143719,/m/0blfnd,i'll do anything,1994-02-04,10209111.0,115.0,['English'],['United States of America'],"['Drama', 'Comedy', 'Domestic Comedy']",tt0110097,5.5,2913.0,Nick Nolte,Albert Brooks,20123490.46263627
10328139,/m/02q8ms8,the brothers bloom,2008-09-09,5530764.0,109.0,"['French', 'Japanese', 'Czech', 'English']",['United States of America'],"['Crime Fiction', 'Romantic comedy', 'Crime Comedy', 'Indie', 'Action/Adventure', 'Drama', 'Comedy', 'Romance Film', 'Action', 'Adventure']",tt0844286,6.7,53011.0,Rachel Weisz,Adrien Brody,7914663.905857158
350629,/m/01z6yp,altered states,1980-12-25,19853892.0,104.0,"['English', 'Spanish']",['United States of America'],"['Science Fiction', 'Horror', 'Surrealism', 'Creature Film', 'Psychological thriller', 'Cult', 'Drama', 'Film adaptation']",tt0080360,6.9,39535.0,William Hurt,Blair Brown,75714521.29482417
21404478,/m/05f5gxy,one week,2008-09-08,488697.0,94.0,['English'],['Canada'],"['Romantic drama', 'Romance Film', 'Drama', 'Indie', 'Adventure']",tt1104806,7.0,12109.0,Joshua Jackson,Peter Spence,699337.8323140665
9822793,/m/02pt7wb,death wish,1974-07-24,22000000.0,93.0,"['Italian', 'German', 'English']",['United States of America'],"['Thriller', 'Crime Fiction', 'Action/Adventure', 'Drama', 'Film adaptation', 'Crime Thriller', 'Action']",tt0071402,6.9,45140.0,Charles Bronson,Hope Lange,137352561.2331326
6257968,/m/0fz8lt,something to talk about,1995-08-04,50865589.0,106.0,['English'],['United States of America'],"['Romantic comedy', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film', 'Domestic Comedy']",tt0114496,5.7,16035.0,Julia Roberts,Dennis Quaid,97342442.55795799
5767035,/m/0f3kpd,welcome,2007-12-21,36500000.0,152.0,['Hindi'],['India'],"['Romantic comedy', 'Crime Fiction', 'World cinema', 'Musical', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film', 'Bollywood']",tt0488798,7.1,26469.0,Akshay Kumar,Katrina Kaif,53433773.87152179
243204,/m/01k8d3,caligula,1979-08-14,23438120.0,148.0,"['Italian', 'English']","['United States of America', 'Italy']","['LGBT', 'Biographical film', 'Erotica', 'Adult', 'Costume drama', 'Historical fiction', 'Epic', 'Period piece', 'Drama', 'Biopic [feature]', 'Romance Film', 'Historical Epic', 'Political drama', 'Historical drama', 'Sexploitation']",tt0080491,5.3,39368.0,Malcolm McDowell,Peter O'Toole,100466809.44452223
633832,/m/02yy9r,dirty pretty things,2002-09-05,13904766.0,93.0,"['French', 'Somali', 'English', 'Spanish']",['United Kingdom'],"['Thriller', 'Crime Fiction', 'Mystery', 'Drama', 'Suspense', 'Crime Thriller']",tt0301199,7.2,44444.0,Chiwetel Ejiofor,Audrey Tautou,22517636.09585728
